SUB17,0,1,2,3,4,5,6,7,8,9,A,B,C,D,E,G,J,K,L,M,N,P,R,T,U,V,X,Y,Z
PRIUS,IQ,HIACE,CAMRY,GR Y,URBAN,PASEO,CELICA,LANDCRUISER,COROLLA,LANDCRUISER,BZ4X,AVENSIS,AYGO,HILUX,AURIS,HILUX,LANDCRUISER,CAMRY,AVENSIS,PREVIA,AVENSIS,PRIUS,COROLLA,CELICA,PRIUS,DYNA 350,C-HR,DYNA,PROACE
LANDCRUISER,IQ2,MR2,HIACE,GR YARIS,,,HILUX,SUPRA,GT86,STARLET,COROLLA,COROLLA,HILUX,HILUX INVINCIBLE,COROLLA,,,CARINA,CELICA,,,,VERSO,HIACE,,PROACE COMFORT,C-HR EXCEL,,
MR2,IQ3,PICNIC,MR2,LANDCRUISER,,,,,LANDCRUISER,,HILUX,HILUX,,,,,,PROACE COMFORT,,,,,,PROLACE COMFORT,,RAV-4,PROACE COMFORT,,
ESTIMA,MR2,PREVIA,SPACE,VERSO,,,,,,,LANDCRUISER,YARIS,,,,,,,,,,,,,,,,,
HILUX,,RAV-4,,YARIS,,,,,,,,,,,,,,,,,,,,,,,,,
